Player,LR Predicted Score,RF Predicted Score,XGB Predicted Score,NN Predicted Score,Bayesian Predicted Score
Derrick Foster,-0.82,0.06,0.28,0.37,-0.82
Derrick Gaffney,1.31,3.84,1.78,2.63,1.31
Derrick Gainer,-0.15,0.04,0.06,0.54,-0.16
Derrick Gore,0.28,0.03,0.02,0.57,0.28
Derrick Hamilton,-0.82,0.02,0.0,0.37,-0.83
Derrick Harden,-0.69,0.02,-0.03,0.33,-0.7
Derrick Harmon,0.96,0.07,0.0,0.56,0.96
Derrick Harris,-0.23,0.05,0.08,0.53,-0.24
Derrick Henry,55.33,65.97,81.86,63.81,55.27
Derrick Jensen,3.2,0.21,-0.11,0.99,3.19
Derrick Lassic,0.78,0.04,0.02,0.76,0.77
Derrick Lewis,-0.81,0.02,0.0,0.38,-0.81
Derrick Mason,27.49,26.89,18.01,30.07,27.5
Derrick Mayes,4.35,1.22,0.26,3.92,4.35
Derrick McAdoo,0.84,0.04,0.04,0.55,0.83
Derrick Moore,5.07,1.97,0.62,2.2,5.07
Derrick Ned,0.1,0.04,0.03,0.78,0.1
Derrick Ramsey,2.09,3.63,4.51,3.11,2.09
Derrick Ross,-0.83,0.04,0.01,0.36,-0.84
Derrick Shepard,0.13,0.1,-0.12,0.44,0.12
Derrick Thomas,-0.83,0.02,0.0,0.36,-0.84
Derrick Townsel,-0.83,0.02,0.0,0.36,-0.84
Derrick Walker,3.85,1.79,2.0,4.3,3.85
Derrick Ward,7.71,2.98,1.58,5.82,7.72
Derrick Williams,-0.59,0.04,-0.0,0.51,-0.59
Derrick Willies,-0.77,0.02,0.0,0.4,-0.77
Derrick Wimbush,-0.18,0.05,0.04,0.58,-0.18
Derrick Witherspoon,-0.83,0.04,0.01,0.36,-0.84
Derrius Guice,0.38,0.03,0.03,0.54,0.38
Derrius Thompson,3.05,1.79,1.09,3.3,3.05
Derwin Williams,-0.64,0.03,-0.01,0.47,-0.65
Deshaun Watson,15.93,20.73,24.33,13.88,15.8
Desmond Clark,9.7,6.1,5.42,8.5,9.7
Desmond Howard,3.6,2.63,2.79,4.22,3.6
Desmond Ridder,-0.27,0.23,-0.17,1.31,-0.14
Detrez Newsome,-0.79,0.03,0.02,0.36,-0.79
Detron Smith,-0.33,0.06,0.01,0.46,-0.33
Deuce McAllister,28.36,42.58,35.51,31.78,28.35
Deuce Vaughn,-0.63,0.05,0.04,0.42,-0.63
Devale Ellis,-0.71,0.02,0.01,0.43,-0.71
Devante Mays,-0.79,0.02,0.0,0.38,-0.8
Devard Darling,0.64,0.19,0.26,1.3,0.63
Devaughn Vele,0.26,0.16,-0.03,1.01,0.26
Deven Thompkins,-0.15,0.06,-0.14,0.71,-0.15
Devery Henderson,8.01,5.28,3.17,6.92,8.0
Devin Aromashodu,2.35,1.87,0.83,3.13,2.35
Devin Asiasi,-0.57,0.07,-0.0,0.4,-0.58
Devin Culp,-0.75,0.02,0.0,0.4,-0.76
Devin Duvernay,2.28,2.07,0.54,2.32,2.28
Devin Funchess,5.9,2.58,1.88,5.12,5.89
Devin Hester,5.39,4.13,2.82,5.55,5.39
Devin Moore,-0.84,0.02,0.0,0.36,-0.84
Devin Singletary,15.77,10.53,4.46,15.41,15.78
Devin Smith,-0.04,0.05,-0.04,0.8,-0.05
Devin Street,-0.36,0.03,-0.04,0.57,-0.37
Devin Thomas,1.04,0.3,0.44,1.37,1.04
Devine Ozigbo,-0.59,0.27,0.03,0.49,-0.59
Devlin Hodges,-1.06,0.03,0.09,0.42,-1.04
Devon Allen,-0.83,0.02,0.0,0.36,-0.84
Devon Wylie,-0.67,0.03,-0.01,0.45,-0.67
Devonta Freeman,24.36,21.39,24.87,24.16,24.36
Devontae Booker,7.96,1.96,0.51,5.02,7.97
Devontez Walker,-0.68,0.02,-0.03,0.34,-0.69
Dewell Brewer,-0.83,0.02,0.0,0.36,-0.84
Dexter Bussey,15.86,10.37,1.06,17.47,15.86
Dexter Carter,4.37,0.34,-0.55,1.12,4.36
Dexter Jackson,-0.83,0.02,0.0,0.36,-0.84
Dexter McCluster,6.07,6.77,1.58,4.93,6.08
Dexter McNabb,-0.83,0.03,0.21,0.36,-0.84
Dexter Williams,-0.83,0.04,0.05,0.36,-0.83
Dez Bryant,20.61,31.62,35.2,26.54,20.58
Dez Fitzpatrick,-0.61,0.02,-0.03,0.38,-0.62
Dez White,5.53,4.86,3.28,5.91,5.53
Dezmin Lewis,-0.82,0.02,0.0,0.37,-0.83
Dezmon Briscoe,0.83,0.24,0.16,1.11,0.82
Dezmon Patmon,-0.58,0.02,-0.03,0.4,-0.59
Dialleo Burks,-0.83,0.02,0.0,0.36,-0.84
Dick Davis,-0.74,0.03,0.03,0.35,-0.75
Dick Gordon,-0.18,0.11,0.32,0.25,-0.19
Dick Shiner,1.09,0.11,-0.26,0.39,1.06
Dick Witcher,-0.23,0.35,0.76,0.86,-0.23
Dickie Post,0.14,0.04,0.03,0.55,0.14
Dieter Brock,0.24,0.19,-0.14,0.5,0.24
Dietrich Jells,0.0,0.22,0.84,0.84,-0.0
Dillon Gordon,-0.83,0.02,0.0,0.36,-0.84
Dillon Stoner,-0.83,0.02,0.0,0.36,-0.84
Dimitri Nance,-0.74,0.03,0.03,0.35,-0.75
Dino Hall,0.97,0.22,0.26,0.22,0.96
Dino Philyaw,-0.3,0.03,0.11,0.47,-0.31
Dion Lewis,10.09,5.82,5.69,6.48,10.09
Dion Sims,2.1,0.63,-0.03,2.3,2.09
Diontae Johnson,12.11,7.13,8.99,10.73,12.11
Diontae Spencer,-0.58,0.06,0.01,0.5,-0.58
Dokie Williams,1.66,3.48,8.95,2.45,1.66
Domanick Williams,13.91,21.46,48.51,11.9,13.92
Domenik Hixon,2.39,1.57,1.24,2.88,2.39
Dominic Rhodes,15.3,11.24,20.74,13.4,15.31
Dominique Byrd,-0.61,0.02,-0.03,0.38,-0.62
Dominique Curry,-0.83,0.02,0.0,0.36,-0.84
Dominique Dafney,-0.64,0.02,-0.03,0.36,-0.64
Dominique Davis,-0.89,0.02,-0.19,0.36,-0.89
Dominique Edison,-0.83,0.02,0.0,0.36,-0.84
Dominique Jones,-0.53,0.03,-0.04,0.43,-0.53
Dominique Ross,-0.83,0.02,0.0,0.36,-0.84
Dominique Thompson,-0.81,0.02,0.0,0.38,-0.81
Dominique Zeigler,-0.52,0.03,-0.01,0.57,-0.52
Don Bass,0.9,1.15,3.63,1.97,0.9
Don Beebe,6.39,2.94,4.25,5.93,6.39
Don Buckey,-0.77,0.02,0.0,0.4,-0.77
Don Burchfield,-0.79,0.02,0.0,0.38,-0.8
Don Calhoun,13.71,8.91,5.06,11.96,13.7
Don Clune,-0.71,0.02,0.0,0.43,-0.72
Don Gault,-0.83,0.02,-0.04,0.32,-0.83
Don Goodman,-0.83,0.02,0.0,0.36,-0.84
Don Hardeman,6.31,1.28,0.73,2.53,6.31
Don Hasselbeck,0.98,0.7,0.65,1.83,0.97
Don Heater,-0.83,0.02,0.0,0.36,-0.84
Don Herrmann,2.15,4.17,2.36,3.33,2.15
Don Highsmith,1.14,0.12,0.02,0.31,1.13
Don Holmes,-0.49,0.03,-0.01,0.59,-0.5
Don Horn,-0.71,0.1,-0.4,0.23,-0.67
Don Jackson,-0.81,0.06,0.15,0.36,-0.81
Don Kern,-0.81,0.02,0.0,0.38,-0.81
Don Kindt,-0.77,0.02,0.0,0.4,-0.77
Don Majkowski,8.69,7.23,10.34,9.42,8.86
Don Maynard,-0.82,0.02,0.0,0.37,-0.83
Don McCall,-0.18,0.03,0.04,0.42,-0.19
Don McCauley,24.59,9.15,0.69,19.6,24.56
Don Milan,-0.71,0.03,0.06,0.32,-0.71
Don Noble,-0.83,0.02,0.0,0.36,-0.84
Don Nottingham,18.18,8.42,5.23,14.96,18.15
Don Overton,-0.61,0.03,0.04,0.33,-0.62
Don Shy,3.54,0.33,-0.08,0.65,3.52
Don Smith,1.34,0.05,0.0,1.05,1.33
Don Strock,6.46,2.21,0.67,2.29,6.29
Don Summers,-0.7,0.02,0.0,0.44,-0.7
Don Testerman,2.3,0.53,-0.21,0.93,2.29
Don Warren,2.86,6.98,3.04,3.99,2.87
Don Westbrook,-0.49,0.04,-0.04,0.53,-0.49
Don Woods,11.65,10.43,9.65,8.34,11.63
Don Zimmerman,0.01,0.22,0.12,0.99,0.01
Donald Brown,10.7,9.83,1.32,8.91,10.71
Donald Driver,23.59,20.73,16.58,25.41,23.6
Donald Evans,-0.83,0.03,0.28,0.36,-0.84
Donald Hayes,4.11,2.8,0.24,4.6,4.11
Donald Hollas,-0.02,0.04,0.0,0.59,0.01
Donald Jones,1.97,2.16,0.57,2.55,1.96
Donald Jordan,-0.68,0.03,0.04,0.3,-0.69
Donald Lee,5.44,2.76,2.06,4.76,5.43
Donald Parham,1.79,0.73,0.39,1.67,1.78
Donald Snell,-0.83,0.02,0.0,0.36,-0.84
Dondre Gilliam,-0.72,0.02,0.0,0.42,-0.73
Donnell Bennett,8.86,2.77,-0.84,6.18,8.86
Donnie Avery,7.17,4.71,5.03,6.8,7.17
Donnie Craft,1.05,0.04,0.07,1.06,1.05
Donnie Davis,-0.72,0.02,-0.03,0.32,-0.73
Donnie Dee,-0.83,0.02,0.0,0.36,-0.84
Donnie Echols,-0.83,0.02,0.0,0.36,-0.84
Donnie Ernsberger,-0.83,0.02,0.0,0.36,-0.84
Donnie Joe Morris,-0.83,0.02,0.0,0.36,-0.84
Donnie Williams,-0.82,0.02,0.0,0.37,-0.83
Donny Anderson,17.82,17.21,26.68,15.55,17.79
Donovan McNabb,21.52,25.22,22.23,26.35,21.57
Donovan Morgan,-0.71,0.02,0.0,0.43,-0.72
Donovan Olumba,-0.83,0.02,0.0,0.36,-0.84
Donovan Peoples-Jones,2.81,2.4,0.52,3.25,2.81
Dontayvion Wicks,2.01,1.38,-0.74,2.22,2.0
Donte Moncrief,6.55,3.6,1.11,5.73,6.55
Donte' Stallworth,11.35,8.23,4.97,10.56,11.34
Donteea Dye,-0.31,0.03,-0.04,0.63,-0.31
Dontrell Hilliard,2.69,0.3,0.13,1.5,2.69
Dontrelle Inman,4.89,2.19,1.44,4.95,4.89
Dorial Green-Beckham,1.79,0.61,-0.21,2.35,1.78
Dorian Thompson-Robinson,-1.88,0.04,-0.01,0.27,-1.82
Dorin Dickerson,-0.56,0.11,0.08,0.53,-0.57
Dorsey Levens,24.14,19.55,18.06,24.65,24.15
Dou Innocent,-0.83,0.02,0.0,0.36,-0.84
Doug Baldwin,14.93,26.37,16.66,16.26,14.91
Doug Chapman,-0.31,0.05,0.03,0.41,-0.31
Doug Cosbie,3.87,6.93,12.87,4.84,3.88
Doug Cunningham,3.56,0.24,-0.08,1.35,3.55
Doug Dennison,8.78,2.92,-0.2,4.59,8.77
Doug Donley,0.15,0.21,0.12,1.01,0.15
Doug Dressler,6.19,2.92,1.07,2.05,6.18
Doug DuBose,0.47,0.04,-0.15,0.53,0.47
Doug Easlick,-0.81,0.02,0.0,0.38,-0.81
Doug Flutie,6.47,3.6,2.42,6.51,6.57
Doug Gabriel,2.91,1.66,1.56,3.35,2.91
Doug Gaynor,-0.88,0.02,-0.36,0.36,-0.88
Doug Hudson,-0.72,0.02,-0.03,0.32,-0.73
Doug Johnson,-0.33,0.03,0.09,0.89,-0.28
Doug Jolley,2.47,0.98,-0.65,3.14,2.47
Doug Kingsriter,-0.74,0.02,0.0,0.41,-0.74
Doug Kotar,12.89,7.09,1.59,10.5,12.88
Doug Lloyd,-0.83,0.02,0.0,0.36,-0.84
Doug Marsh,1.8,3.14,3.84,2.78,1.8
Doug Martin,17.73,19.4,26.96,19.77,17.74
Doug Nussmeier,-1.26,0.03,-0.04,0.35,-1.24
Doug Paschal,-0.34,0.03,0.11,0.44,-0.35
Doug Pederson,-1.75,0.03,0.01,0.56,-1.67
Doug Thomas,-0.02,0.46,0.36,1.09,-0.02
Doug Wellsandt,-0.77,0.02,0.09,0.4,-0.77
Doug Williams,12.55,9.52,13.12,12.06,12.63
Doug Winslow,-0.67,0.02,-0.03,0.35,-0.67
Douglas Cunningham,-0.77,0.02,0.0,0.4,-0.77
Drake London,6.13,5.65,10.89,6.12,6.13
Drake Maye,0.91,0.03,0.02,0.91,0.9
Dreamius Smith,-0.83,0.02,0.0,0.36,-0.84
Drew Bennett,10.68,7.25,7.27,9.16,10.67
Drew Bledsoe,5.14,12.28,16.39,11.42,5.59
Drew Brees,47.41,37.23,44.59,39.48,46.58
Drew Buie,-0.71,0.06,0.15,0.41,-0.72
Drew Carter,2.02,1.11,1.33,2.32,2.02
Drew Davis,-0.16,0.04,-0.04,0.52,-0.17
Drew Haddad,-0.82,0.02,0.0,0.37,-0.83
Drew Henson,-0.7,0.03,-0.03,0.38,-0.71
Drew Hill,10.12,12.9,21.24,10.89,10.14
Drew Lock,2.12,1.65,0.66,2.15,2.2
Drew Pearson,7.54,17.91,26.85,7.73,7.53
Drew Sample,1.34,0.89,0.16,2.11,1.33
Drew Stanton,-0.57,0.1,-0.07,1.06,-0.5
Dri Archer,-0.68,0.03,0.11,0.42,-0.69
DuJuan Harris,0.79,0.05,-0.09,0.71,0.79
Duane Thomas,11.04,10.69,14.54,7.33,11.02
Duane Young,0.26,0.16,-0.03,1.01,0.26
Duce Staley,18.64,18.42,18.74,20.22,18.67
Duke Calhoun,-0.81,0.02,0.0,0.38,-0.81
Duke Fergerson,-0.13,0.04,-0.04,0.7,-0.13
Duke Johnson,11.85,3.9,3.82,6.5,11.86
Duke Williams,-0.46,0.03,-0.04,0.49,-0.46
Durham Smythe,2.36,4.99,1.04,2.94,2.36
Duriel Harris,3.67,9.47,4.77,4.89,3.68
Dustin Johnson,-0.83,0.02,0.0,0.36,-0.84
Dustin Keller,6.75,4.93,2.05,6.51,6.75
Dustin Lyman,0.32,0.16,-0.03,1.07,0.31
Dusty McGrorty,-0.83,0.02,0.0,0.36,-0.84
Dwayne Allen,4.54,2.87,1.7,3.82,4.53
Dwayne Blakley,-0.2,0.03,-0.04,0.76,-0.2
Dwayne Bowe,17.37,11.52,13.11,17.21,17.38
Dwayne Carswell,5.04,2.32,1.19,4.84,5.03
Dwayne Crutchfield,0.47,0.04,0.03,0.37,0.46
Dwayne Dixon,-0.75,0.02,0.0,0.4,-0.76
Dwayne Harris,1.77,1.46,2.46,2.01,1.76
Dwayne Haskins,-1.35,0.03,-0.11,0.68,-1.27
Dwayne Jarrett,0.22,0.26,0.41,1.22,0.22
Dwayne Washington,0.12,0.05,0.11,0.52,0.12
Dwayne Wright,-0.76,0.03,0.03,0.35,-0.76
Dwight Beverly,0.26,0.03,0.04,0.45,0.26
Dwight Clark,6.59,25.54,33.5,8.07,6.61
Dwight Collins,-0.69,0.18,0.07,0.45,-0.69
Dwight Garner,-0.72,0.02,-0.03,0.32,-0.73
Dwight Harrison,-0.43,0.05,0.08,0.47,-0.43
Dwight McDonald,-0.2,0.32,0.31,0.89,-0.21
Dwight Scales,0.16,0.17,0.06,1.03,0.16
Dwight Stone,4.63,1.83,-0.11,3.48,4.63
Dwight Walker,0.29,0.21,-0.21,0.84,0.29
Dwone Hicks,-0.83,0.02,0.0,0.36,-0.84
Dyami Brown,1.03,0.83,0.74,1.72,1.03
Dylan Drummond,-0.83,0.02,0.0,0.36,-0.84
Dylan Laube,-0.83,0.02,0.0,0.36,-0.84
E.G. Green,0.78,0.69,0.51,1.74,0.78
E.J. Bibbs,-0.81,0.02,0.0,0.38,-0.81
E.J. Jenkins,-0.69,0.02,-0.03,0.33,-0.7
E.J. Jones,-0.74,0.04,0.05,0.39,-0.75
EJ Manuel,0.83,0.83,0.12,1.33,0.88
Earl Beecham,-0.83,0.04,0.02,0.35,-0.83
Earl Bennett,4.59,2.22,1.9,4.73,4.59
Earl Campbell,42.36,54.89,66.06,50.37,42.32
Earl Carr,-0.82,0.02,0.0,0.37,-0.83
Earl Cooper,6.68,1.73,5.36,3.03,6.67
Earl Ferrell,16.01,7.3,4.95,12.54,15.99
Earl Gant,0.59,0.09,-0.02,0.44,0.59
Earl Gros,-0.81,0.02,0.0,0.38,-0.81
Earl McCullouch,-0.82,0.02,0.0,0.37,-0.83
Earl Morrall,3.29,0.83,0.32,1.09,3.21
Earl Thomas,0.86,0.85,1.1,1.81,0.85
Early Doucet,3.4,1.72,0.88,4.05,3.4
Earnest Byner,39.54,47.96,24.3,46.57,39.52
Earnest Graham,9.76,6.04,4.94,6.4,9.74
Earnest Gray,2.89,9.06,6.61,4.02,2.89
Earnest Hunter,-0.35,0.07,-0.17,0.61,-0.36
Earnest Jackson,13.43,10.65,11.78,12.76,13.43
Eason Ramson,0.94,0.79,0.95,1.78,0.94
Easop Winston,-0.82,0.02,0.0,0.37,-0.83
Easton Stick,-1.28,0.03,-0.19,0.43,-1.23
Ed Baker,-0.91,0.06,0.27,0.36,-0.91
Ed Beckman,-0.41,0.03,-0.04,0.53,-0.41
Ed Beverly,-0.83,0.02,0.0,0.36,-0.84
Ed Blount,-0.72,0.02,-0.03,0.32,-0.73
Ed Burns,-0.83,0.02,0.0,0.36,-0.84
Ed Dickson,5.15,2.15,2.66,4.95,5.15
Ed Eagan,-0.82,0.02,0.0,0.37,-0.83
Ed Jenkins,-0.82,0.02,0.0,0.37,-0.83
Ed Luther,-1.45,0.5,-0.32,0.35,-1.35
Ed Marinaro,5.93,1.22,-0.06,2.18,5.93
Ed Marshall,-0.49,0.03,-0.04,0.47,-0.49
Ed McCaffrey,17.66,16.69,11.76,19.91,17.66
Ed Perry,-0.31,0.03,-0.01,0.76,-0.32
Ed Podolak,24.22,18.02,11.28,26.03,24.21
Ed Rubbert,-0.4,0.06,0.11,0.39,-0.42
Ed Schenk,-0.82,0.02,0.0,0.37,-0.83
Ed Smith,-0.75,0.02,0.0,0.4,-0.76
Ed Stansbury,-0.83,0.02,0.0,0.36,-0.84
Ed Thomas,-0.78,0.02,0.0,0.39,-0.78
Ed Tillison,-0.83,0.04,0.02,0.35,-0.83
Ed Toner,-0.81,0.03,0.05,0.36,-0.82
Ed West,4.85,5.18,2.36,4.98,4.85
Ed Williams,4.75,0.92,1.15,1.3,4.74
Edd Hargett,-0.58,0.06,0.08,0.57,-0.53
Eddie Bell,1.01,2.35,5.33,2.02,1.01
Eddie Berlin,0.13,0.17,0.06,1.0,0.13
Eddie Brown,4.9,20.06,31.84,5.73,4.91
Eddie Chavis,-0.74,0.02,0.0,0.41,-0.74
Eddie Drummond,-0.64,0.06,0.1,0.45,-0.64
Eddie Foster,-0.52,0.03,-0.04,0.44,-0.52
Eddie Fuller,-0.75,0.03,0.05,0.38,-0.76
Eddie George,39.43,51.01,59.43,48.68,39.45
Eddie Hicks,-0.57,0.04,0.03,0.27,-0.58
Eddie Hill,1.69,0.17,-0.02,0.36,1.69
Eddie Hinton,1.78,0.89,6.72,1.68,1.78
Eddie Hunter,-0.32,0.05,0.03,0.21,-0.32
Eddie Kennison,18.3,10.81,6.38,17.21,18.32
Eddie Lacy,13.36,21.01,35.02,12.24,13.37
Eddie Lee Ivery,13.67,12.9,10.38,10.97,13.67
Eddie McGill,-0.82,0.02,0.0,0.37,-0.83
Eddie Miller,-0.83,0.02,0.0,0.36,-0.84
Eddie Moss,-0.14,0.03,0.04,0.33,-0.15
Eddie Payton,1.59,0.42,-0.12,1.35,1.57
Eddie Ray,6.27,0.74,0.51,1.99,6.24
Eddie Royal,11.51,6.11,4.04,9.92,11.52
Eddie Watson,-0.83,0.03,0.05,0.36,-0.83
Eddie Williams,-0.82,0.02,0.0,0.37,-0.83
Edell Shepherd,-0.46,0.04,-0.03,0.48,-0.46
Edgar Bennett,16.47,14.41,21.73,13.83,16.47
Edgerrin James,48.58,59.48,65.91,60.47,48.62
Edward Lee,-0.83,0.02,0.0,0.36,-0.84
Edwin Baker,0.24,0.03,0.02,0.6,0.24
Edwin Lovelady,-0.12,0.09,-0.11,0.32,-0.13
Elbert Mack,-0.83,0.02,0.0,0.36,-0.84
Eldra Buckley,-0.32,0.03,0.05,0.43,-0.33
Eldridge Dickey,-0.78,0.02,0.0,0.39,-0.78
Elgin Davis,-0.7,0.04,0.09,0.3,-0.71
Eli Manning,17.13,12.99,7.01,16.35,17.09
Eli Rogers,1.22,0.99,0.77,1.97,1.21
Elijah Cooks,-0.78,0.02,0.0,0.39,-0.78
Elijah Dotson,-0.81,0.03,0.01,0.37,-0.81
Elijah Higgins,0.1,0.58,1.45,0.82,0.09
Elijah Hood,-0.83,0.02,0.0,0.36,-0.84
Elijah McGuire,2.18,0.24,-0.14,1.31,2.17
Elijah Mitchell,4.3,1.66,1.47,2.06,4.3
Elijah Moore,5.44,6.63,1.33,5.57,5.45
Elijhaa Penny,1.21,0.05,0.04,0.99,1.2
Elliott Walker,-0.72,0.02,-0.03,0.32,-0.73
Elmer Bailey,-0.78,0.02,0.0,0.39,-0.78
Elmo Boyd,-0.6,0.02,-0.03,0.39,-0.6
Elmo Wright,0.83,0.28,0.18,1.24,0.82
Elroy Harris,-0.67,0.04,-0.08,0.33,-0.68
Elton Veals,-0.8,0.03,0.03,0.33,-0.81
Elvis Grbac,4.22,3.83,5.79,4.69,4.32
Elvis Joseph,-0.15,0.05,0.03,0.42,-0.15
Elvis Peacock,3.51,1.01,2.6,1.49,3.51
Emanuel Byrd,-0.81,0.02,0.0,0.38,-0.81
Emanuel Smith,-0.83,0.02,0.0,0.36,-0.84
Emanuel Wilson,1.54,0.06,-0.18,0.86,1.54
Emari Demercado,1.38,0.36,0.18,1.18,1.38
Emery Moorehead,2.52,6.41,5.89,3.6,2.52
Emil Igwenagu,-0.83,0.02,0.0,0.36,-0.84
Emile Harry,1.51,7.39,7.17,2.54,1.51
Emmanuel Arceneaux,-0.81,0.02,0.0,0.38,-0.81
Emmanuel Sanders,21.56,14.87,10.66,21.25,21.54
Emmett Edwards,-0.78,0.02,0.07,0.39,-0.79
Emmitt Smith,90.57,87.24,87.26,109.12,90.55
Eno Benjamin,1.23,0.1,-0.0,1.08,1.22
Equanimeous St. Brown,0.94,0.95,1.04,1.83,0.93
Eric Bailey,-0.72,0.02,0.0,0.42,-0.73
Eric Ball,4.22,0.2,-0.09,1.38,4.21
Eric Beverly,-0.78,0.02,0.0,0.39,-0.78
Eric Bieniemy,7.31,1.52,0.5,4.23,7.31
Eric Bjornson,3.74,2.86,2.75,3.62,3.74
Eric Blount,-0.24,0.04,0.05,0.53,-0.25
Eric Brown,-0.77,0.02,0.0,0.4,-0.77
Eric Cobble,-0.83,0.04,0.02,0.35,-0.83
Eric Crabtree,-0.13,0.15,0.02,0.79,-0.13
Eric Decker,14.99,25.11,25.98,17.42,14.98
Eric Dickerson,57.32,63.38,74.42,71.42,57.28
Eric Ebron,11.93,11.68,9.49,10.03,11.92
Eric Edwards,-0.38,0.03,-0.04,0.56,-0.38
Eric Fowler,-0.83,0.02,0.0,0.36,-0.84
Eric Gray,-0.56,0.05,0.03,0.48,-0.56
Eric Green,9.64,7.4,14.76,8.51,9.64
Eric Guliford,1.38,2.54,1.02,2.51,1.39
Eric Hipple,9.26,6.45,0.54,8.9,9.4
Eric Hodges,-0.83,0.02,0.0,0.36,-0.84
Eric Johnson,5.11,9.29,8.58,5.75,5.11
Eric Kattus,0.19,0.2,0.14,1.2,0.18
Eric Kresser,-0.81,0.02,-0.03,0.38,-0.81
Eric Lane,2.13,0.08,-0.11,1.07,2.13
Eric Lynch,0.39,0.04,0.06,0.71,0.39
Eric Martin,10.95,8.25,13.61,9.91,10.96
Eric McCoo,-0.75,0.03,0.11,0.38,-0.75
Eric Metcalf,20.85,14.25,12.93,14.4,20.84
Eric Moulds,22.9,24.34,29.57,22.56,22.92
Eric Mullins,-0.75,0.02,0.0,0.4,-0.76
Eric Page,-0.71,0.03,0.05,0.42,-0.71
Eric Parker,4.35,2.48,-0.02,4.43,4.35
Eric Richardson,-0.17,0.06,-0.04,0.4,-0.18
Eric Riley,-0.78,0.02,0.0,0.39,-0.78
Eric Saubert,0.45,0.19,0.05,1.23,0.45
Eric Shelton,-0.81,0.04,0.02,0.36,-0.82
Eric Sievers,2.56,4.01,1.84,3.52,2.56
Eric Smith,-0.75,0.03,0.21,0.4,-0.75
Eric Stocz,-0.83,0.02,0.0,0.36,-0.84
Eric Streater,-0.76,0.02,0.01,0.4,-0.77
Eric Swanson,-0.83,0.02,0.0,0.36,-0.84
Eric Tomlinson,0.12,0.16,-0.03,0.85,0.12
Eric Torkelson,5.16,1.25,2.6,1.52,5.16
Eric Truvillion,-0.56,0.03,-0.04,0.41,-0.56
Eric Weems,0.29,0.21,0.08,0.84,0.28
Eric Wilkerson,-0.83,0.02,0.0,0.36,-0.84
Eric Wright,-0.72,0.02,0.0,0.42,-0.73
Eric Yarber,-0.71,0.02,-0.03,0.33,-0.71
Eric Zeier,-1.79,0.16,-0.07,0.67,-1.71
Erick All,-0.53,0.03,-0.01,0.55,-0.54
Erik Affholter,-0.74,0.02,0.0,0.41,-0.74
Erik Bickerstaff,-0.37,0.03,0.09,0.42,-0.38
Erik Ezukanma,-0.77,0.04,0.02,0.38,-0.78
Erik Kramer,4.45,4.83,4.88,4.1,4.52
Erik Lorig,0.14,0.21,0.12,1.0,0.13
Erik Swoope,0.06,0.07,-0.04,0.64,0.05
Erik Wilhelm,-0.37,0.06,-0.02,0.25,-0.36
Ernest Givins,12.56,12.29,20.04,10.9,12.57
Ernest Pough,-0.34,0.05,0.06,0.32,-0.35
Ernest Wilford,4.8,2.3,0.3,4.57,4.8
Ernie Conwell,6.33,4.09,0.54,5.27,6.32
Ernie Jones,3.99,1.87,3.0,4.11,3.99
Ernie Mills,6.49,2.65,0.53,5.8,6.48
Ernie Richardson,-0.83,0.02,0.0,0.36,-0.84
Ernie Thompson,-0.72,0.03,0.05,0.4,-0.73
Ernie Wheelwright,-0.69,0.04,0.09,0.31,-0.7
Eron Riley,-0.83,0.02,0.0,0.36,-0.84
Erric Pegram,8.62,4.87,3.65,7.97,8.64
Errict Rhett,15.72,15.4,15.44,15.71,15.73
Erron Kinney,3.82,1.29,1.44,4.14,3.82
Essex Johnson,11.56,8.67,11.48,8.33,11.55
Ethan Fernea,-0.83,0.02,0.0,0.36,-0.84
Ethan Horton,6.0,4.38,3.14,4.65,5.99
Ethan Wolf,-0.81,0.02,0.0,0.38,-0.81
Eugene Baker,-0.64,0.03,-0.01,0.47,-0.65
Eugene Goodlow,0.86,1.05,1.83,1.96,0.86
Eugene Riley,-0.82,0.02,0.0,0.37,-0.83
Eugene Rowell,-0.83,0.02,0.0,0.36,-0.84
Evan Baylis,-0.83,0.02,0.0,0.36,-0.84
Evan Engram,12.58,9.81,9.33,11.24,12.59
Evan Hull,-0.82,0.02,0.0,0.37,-0.83
Evan Moore,1.15,0.62,0.48,1.76,1.15
Evan Rodriguez,-0.71,0.02,0.0,0.43,-0.72
Evan Royster,0.73,0.05,0.01,0.91,0.73
Evan Spencer,-0.83,0.02,0.0,0.36,-0.84
Everett Gay,-0.52,0.03,-0.04,0.44,-0.52
Ezekiel Elliott,43.71,57.73,63.43,51.41,43.72
Fabien Bownes,-0.13,0.11,0.05,0.71,-0.14
Fair Hooker,0.91,1.85,0.31,2.17,0.91
Farrod Green,-0.83,0.02,0.0,0.36,-0.84
Feleipe Franks,-0.76,0.03,0.01,0.39,-0.77
Felix Jones,7.84,2.69,1.81,6.26,7.85
Fendi Onobun,-0.77,0.02,0.0,0.4,-0.77
Fernanza Burgess,-0.83,0.02,0.0,0.36,-0.84
Ferrell Edmunds,2.8,1.29,0.16,2.98,2.79
Fitzgerald Toussaint,-0.62,0.06,0.07,0.41,-0.62
Flip Johnson,-0.25,0.03,-0.04,0.69,-0.26
Flipper Anderson,7.25,5.18,2.45,6.64,7.25
Floyd Dixon,2.22,4.08,7.15,2.99,2.22
