Player,Season,Passing Yds,Passing Tds,Rushing Yds,Rushing Tds,Receiving Yds,Receiving Tds,VBD
Phil Smith,1986,0,0,0,0,6,1,0
Mike Akiu,1986,0,0,0,0,4,0,0
Ken Anderson,1986,171,1,0,0,0,0,0
Jessie Clark,1986,0,0,41,0,6,1,0
Reggie Collier,1986,96,1,53,0,0,2,0
Jonathan Hayes,1986,0,0,0,0,8,0,0
Robert Lavette,1986,0,0,6,0,5,3,0
Mike Martin,1986,0,0,0,0,3,0,0
Vance Mueller,1986,0,0,30,0,6,1,0
Andy Parker,1986,0,0,0,0,2,0,0
Tim Smith,1986,0,0,0,0,4,0,0
Jo-Jo Townsell,1986,0,0,2,0,1,0,0
Lew Barnes,1986,0,0,0,0,4,5,0
Derrick Crawford,1986,0,0,0,0,5,1,0
Vince Ferragamo,1986,283,1,0,0,0,3,0
Mike Guman,1986,0,0,2,0,9,1,0
Anthony Hancock,1986,0,0,0,0,4,0,0
Greg LaFleur,1986,0,0,0,0,7,0,0
Butch Rolle,1986,0,0,0,0,4,0,0
Rob Rubick,1986,0,0,0,0,5,0,0
Jeff Rutledge,1986,13,1,19,0,0,0,0
Stacey Bailey,1986,0,0,6,0,3,0,0
Marion Barber Jr.,1986,0,0,27,0,5,1,0
Terry Greer,1986,0,0,0,0,3,0,0
Joey Hackett,1986,0,0,0,0,3,0,0
James Harbour,1986,0,0,0,0,4,0,0
Darren Long,1986,0,0,0,0,5,0,0
Steve Strachan,1986,0,0,53,0,0,0,0
Pat Tilley,1986,0,0,0,0,3,0,0
Ron Wolfley,1986,0,0,19,0,2,0,0
Major Everett,1986,0,0,43,0,0,0,0
Leonard Harris,1986,0,0,0,0,3,1,0
Scott Holman,1986,0,0,0,0,3,0,0
Trey Junkin,1986,0,0,0,0,2,0,0
Aubrey Matthews,1986,0,0,12,0,1,0,0
Derwin Williams,1986,0,0,0,0,2,0,0
Reggie Dupard,1986,0,0,39,0,0,1,0
Ron Middleton,1986,0,0,0,0,6,0,0
Walter Murray,1986,0,0,0,0,2,0,0
Buster Rhymes,1986,0,0,0,0,3,0,0
Chuck Sanders,1986,0,0,12,0,2,0,0
Travis Tucker,1986,0,0,0,0,2,0,0
Ken Bell,1986,0,0,17,0,2,1,0
Walter Broughton,1986,0,0,-6,0,3,5,0
Tony Cherry,1986,0,0,42,0,0,2,0
Chuck Fusina,1986,178,0,11,0,0,4,0
Doug Gaynor,1986,30,0,4,0,0,0,0
Willie Gillespie,1986,0,0,0,0,1,0,0
Dan Reeder,1986,0,0,20,0,2,0,0
Wayne Wilson,1986,0,0,19,0,1,0,0
Scott Campbell,1986,7,0,7,0,0,0,0
Darryl Clack,1986,0,0,19,0,1,3,0
Bobby Joe Edmonds,1986,0,0,-11,0,0,4,0
Nuu Faaola,1986,0,0,5,0,0,0,0
Todd Fowler,1986,0,0,5,0,1,1,0
Nolan Franz,1986,0,0,0,0,1,0,0
Derek Holloway,1986,0,0,0,0,1,0,0
Bruce King,1986,0,0,10,0,0,0,0
Ken Margerum,1986,0,0,0,0,2,0,0
Mark Pattison,1986,0,0,0,0,2,0,0
Eric Richardson,1986,0,0,0,0,3,4,0
Bill Ring,1986,0,0,4,0,1,0,0
Broderick Sargent,1986,0,0,0,0,1,0,0
Eric Sievers,1986,0,0,0,0,2,0,0
Timmie Ware,1986,0,0,0,0,1,0,0
Mike Waters,1986,0,0,8,0,2,3,0
Greg Allen,1986,0,0,3,0,0,0,0
Kent Austin,1986,0,0,0,0,0,0,0
Rick Badanjek,1986,0,0,0,0,0,0,0
Tony Baker,1986,0,0,3,0,0,0,0
Mack Boatner,1986,0,0,0,0,0,0,0
Tony Boddie,1986,0,0,2,0,0,0,0
Steve Bono,1986,3,0,0,0,0,0,0
Cap Boso,1986,0,0,0,0,0,0,0
Reggie Branch,1986,0,0,0,0,0,0,0
Jessie Britt,1986,0,0,0,0,0,0,0
Rob Carpenter,1986,0,0,3,0,0,0,0
Joe Carter,1986,0,0,18,0,1,2,0
Earl Cooper,1986,0,0,0,0,0,0,0
Johnny Davis,1986,0,0,0,0,0,0,0
Chris Dressel,1986,0,0,0,0,0,0,0
Stan Edwards,1986,0,0,3,0,0,0,0
Craig Ellis,1986,0,0,6,0,0,1,0
Todd Frain,1986,0,0,0,0,0,0,0
Billy Griggs,1986,0,0,0,0,0,0,0
Michael Harper,1986,0,0,0,0,0,0,0
Carl Hilton,1986,0,0,0,0,0,0,0
Don Holmes,1986,0,0,0,0,0,0,0
Jeff Hostetler,1986,0,0,1,0,0,0,0
Derrick Jensen,1986,0,0,0,0,0,0,0
Damone Johnson,1986,0,0,0,0,0,0,0
Anthony Jones,1986,0,0,0,0,0,0,0
Don Kern,1986,0,0,0,0,0,0,0
Babe Laufenberg,1986,0,0,0,0,0,0,0
Jim Laughton,1986,0,0,0,0,0,0,0
Robbie Martin,1986,0,0,0,0,1,4,0
Bruce Mathison,1986,0,0,-1,0,0,0,0
Paul McDonald,1986,0,0,0,0,0,0,0
Bobby Micho,1986,0,0,0,0,0,0,0
Carl Monroe,1986,0,0,0,0,2,1,0
James Noble,1986,0,0,0,0,0,0,0
Jay Novacek,1986,0,0,0,0,1,0,0
Hubie Oliver,1986,0,0,1,0,1,0,0
Mike Pagel,1986,53,0,0,0,0,2,0
Jeff Parks,1986,0,0,0,0,0,0,0
Clay Pickering,1986,0,0,0,0,0,0,0
Karl Powe,1986,0,0,0,0,0,0,0
Tom Ramsey,1986,7,0,-6,0,0,0,0
Chris Riehm,1986,0,0,0,0,0,0,0
Warren Seitz,1986,0,0,2,0,0,0,0
Frank Seurer,1986,0,0,0,0,0,0,0
Joe Shield,1986,0,0,0,0,0,0,0
Chris Smith,1986,0,0,0,0,0,0,0
Oscar Smith,1986,0,0,0,0,0,0,0
Jeff Spek,1986,0,0,0,0,0,0,0
Robert Stallings,1986,0,0,0,0,0,0,0
Eric Swanson,1986,0,0,0,0,0,0,0
Steve Tasker,1986,0,0,0,0,0,0,0
Tim Tyrrell,1986,0,0,0,0,1,1,0
Clarence Verdin,1986,0,0,0,0,0,0,0
Byron Walker,1986,0,0,0,0,0,0,0
Vince Warren,1986,0,0,0,0,0,0,0
Doug Williams,1986,0,0,0,0,0,0,0
Eric Yarber,1986,0,0,0,0,0,0,0
Dwight Garner,1986,0,0,0,0,0,1,0
Frank Reich,1986,104,0,0,0,0,1,0
Oliver Williams,1986,0,0,0,0,0,1,0
Ken Jenkins,1986,0,0,0,0,0,4,0
Jerry Rice,1987,0,0,51,1,65,2,160
Joe Montana,1987,3054,31,141,1,0,3,95
Charles White,1987,0,0,1374,11,23,8,95
Randall Cunningham,1987,2786,23,505,3,1,12,94
Herschel Walker,1987,0,0,891,7,60,4,92
John Elway,1987,3198,19,304,4,0,2,90
Mark Bavaro,1987,0,0,0,0,55,2,88
Neil Lomax,1987,3387,24,107,0,0,7,69
J.T. Smith,1987,0,0,0,0,91,2,69
Dan Marino,1987,3245,26,-5,1,0,5,66
Eric Dickerson,1987,0,0,1288,6,18,7,63
Curt Warner,1987,0,0,985,8,17,4,59
Gary Clark,1987,0,0,0,0,56,3,57
Bernie Kosar,1987,3033,22,22,1,0,2,56
Carlos Carson,1987,0,0,-7,0,55,1,56
Mike Quick,1987,0,0,0,0,46,3,54
Steve Largent,1987,0,0,33,0,58,2,52
Albert Bentley,1987,0,0,631,7,34,3,46
Anthony Carter,1987,0,0,0,0,38,0,46
Drew Hill,1987,0,0,0,0,49,1,45
Robert Awalt,1987,0,0,-9,0,42,0,43
Earnest Byner,1987,0,0,432,8,52,5,41
Warren Moon,1987,2806,21,112,3,0,8,40
Al Toon,1987,0,0,0,0,68,0,39
Ernest Givins,1987,0,0,-13,0,53,2,38
Roger Craig,1987,0,0,815,3,66,5,37
Jim Kelly,1987,2798,19,133,0,1,6,35
Stump Mitchell,1987,17,0,781,3,45,3,33
Webster Slaughter,1987,0,0,0,0,47,1,33
Todd Christensen,1987,0,0,0,0,47,0,33
Marcus Allen,1987,23,0,754,5,51,3,32
Mark Clayton,1987,0,0,8,0,46,0,32
Boomer Esiason,1987,3321,16,241,0,0,10,31
Troy Stradford,1987,6,0,619,6,48,6,31
James Lofton,1987,0,0,1,0,41,0,30
Eric Martin,1987,0,0,0,0,44,3,28
Neal Anderson,1987,0,0,586,3,47,2,27
Wade Wilson,1987,2106,14,263,5,0,3,26
Willie Gault,1987,0,0,16,0,35,0,26
Pete Mandley,1987,0,0,3,0,58,0,26
Kellen Winslow,1987,0,0,0,0,53,1,24
Dave Krieg,1987,2131,23,155,2,0,11,22
Johnny Hector,1987,0,0,435,11,32,2,20
Vance Johnson,1987,0,0,-8,0,42,1,20
Mark Duper,1987,0,0,0,0,33,0,19
Andre Reed,1987,0,0,1,0,57,0,17
Mike Rozier,1987,0,0,957,3,27,5,16
Steve Jordan,1987,0,0,0,0,35,1,15
Doug Cosbie,1987,0,0,-5,0,36,0,15
Calvin Magee,1987,0,0,0,0,34,0,15
Dalton Hilliard,1987,23,1,508,7,23,4,14
Mickey Shuler,1987,0,0,0,0,43,2,14
Kevin Mack,1987,0,0,735,5,32,6,13
Chris Burkett,1987,0,0,0,0,56,1,11
Lionel James,1987,0,0,102,2,41,6,11
Roy Green,1987,0,0,34,0,43,1,11
Rodney Holman,1987,0,0,0,0,28,0,11
Kelvin Bryant,1987,0,0,406,1,43,4,9
John Tice,1987,0,0,0,0,16,0,9
Rueben Mayes,1987,0,0,917,5,15,8,8
Earl Ferrell,1987,0,0,512,7,23,0,7
Brian Brennan,1987,0,0,0,0,43,1,7
Henry Ellard,1987,0,0,4,0,51,3,7
Sammy Winder,1987,0,0,741,6,14,5,6
Ronnie Harmon,1987,0,0,485,2,56,2,6
Stephone Paige,1987,0,0,0,0,43,0,6
Gerald Riggs,1987,0,0,875,2,25,4,3
Larry Kinnebrew,1987,0,0,570,8,9,1,3
John Williams,1987,0,0,0,0,0,0,0
Art Monk,1987,0,0,63,0,38,0,2
Floyd Dixon,1987,0,0,-3,0,36,0,1
Mike Renfro,1987,0,0,0,0,46,1,1
John Frank,1987,0,0,2,0,26,2,1
Ken O'Brien,1987,2696,13,61,0,0,8,0
Phil Simms,1987,2230,17,44,0,0,4,0
Bobby Hebert,1987,2119,15,95,0,0,4,0
Jay Schroeder,1987,1878,12,120,3,0,5,0
Marc Wilson,1987,2070,12,91,0,0,1,0
Bill Kenney,1987,2107,15,-2,0,0,8,0
Danny White,1987,2617,12,14,1,0,9,0
Jim McMahon,1987,1639,12,88,2,0,2,0
Dan Fouts,1987,2517,10,0,2,0,10,0
Tony Collins,1987,0,0,474,3,44,6,0
Anthony Toney,1987,0,0,473,5,39,5,0
Steve DeBerg,1987,1891,14,-8,0,0,7,0
Jim Everett,1987,2064,10,83,1,0,2,0
Chuck Long,1987,2598,11,64,0,0,8,0
Scott Campbell,1987,1728,11,102,2,0,4,0
Bo Jackson,1987,0,0,554,4,16,2,0
Gary Anderson,1987,0,0,260,3,47,4,0
Walter Payton,1987,0,0,533,4,33,5,0
George Rogers,1987,0,0,613,6,4,2,0
Christian Okoye,1987,0,0,660,3,24,5,0
Joe Morris,1987,0,0,658,3,11,2,0
Gerald Carter,1987,0,0,0,0,38,0,0
Lionel Manuel,1987,0,0,-10,0,30,1,0
Steve Young,1987,570,10,190,1,0,0,0
Bill Brooks,1987,0,0,-2,0,51,3,0
Darrin Nelson,1987,0,0,642,2,26,2,0
Mark Malone,1987,1896,6,162,3,0,10,0
Stanley Morgan,1987,0,0,0,0,40,0,0
James Wilder,1987,0,0,488,0,40,3,0
Freeman McNeil,1987,0,0,530,0,24,1,0
Walter Stanley,1987,0,0,38,0,38,5,0
Doug Williams,1987,1156,11,9,1,0,3,0
Tom Rathman,1987,0,0,257,1,30,1,0
Keith Byars,1987,0,0,426,3,21,3,0
Kelvin Edwards,1987,0,0,61,1,34,1,0
Ricky Sanders,1987,0,0,-4,0,37,0,0
Irving Fryar,1987,0,0,52,0,31,2,0
Matt Bouza,1987,0,0,0,0,42,2,0
Earnest Jackson,1987,0,0,696,1,7,2,0
Robb Riddick,1987,35,0,221,5,15,2,0
Steve Grogan,1987,1183,10,37,2,0,8,0
Stanford Jennings,1987,0,0,314,1,35,0,0
Eddie Brown,1987,0,0,0,0,44,3,0
Ray Butler,1987,0,0,0,0,33,1,0
Frank Pollard,1987,0,0,536,3,14,3,0
Walter Abercrombie,1987,0,0,459,2,24,4,0
D.J. Dozier,1987,0,0,257,5,12,2,0
Mike Wilson,1987,0,0,0,0,29,0,0
James Brooks,1987,0,0,290,1,22,0,0
Ricky Nattiel,1987,0,0,13,0,31,2,0
Wes Chandler,1987,0,0,0,0,39,1,0
Jeff Smith,1987,0,0,0,0,6,0,0
Tony Dorsett,1987,0,0,456,1,19,3,0
Herman Heard,1987,0,0,466,3,14,5,0
Gary Hogeboom,1987,1145,9,3,0,0,1,0
Ron Brown,1987,0,0,9,0,2,0,0
Garry James,1987,0,0,270,4,16,3,0
Aubrey Matthews,1987,0,0,-4,0,32,2,0
Kenneth Davis,1987,0,0,413,3,14,2,0
Kenny Jackson,1987,0,0,27,0,21,1,0
Gene Lang,1987,0,0,303,2,17,0,0
Jack Trudeau,1987,1587,6,7,0,0,10,0
Randy Wright,1987,1507,6,70,0,0,3,0
Phil Epps,1987,0,0,0,0,34,1,0
Timmy Newsome,1987,0,0,121,2,34,1,0
John Stallworth,1987,0,0,0,0,41,1,0
Dokie Williams,1987,0,0,0,0,21,0,0
Mark Carrier,1987,0,0,0,0,26,0,0
Mike Jones,1987,0,0,0,0,27,1,0
Frankie Neal,1987,0,0,0,0,36,1,0
Dwight Clark,1987,0,0,0,0,24,1,0
Vince Evans,1987,630,5,144,1,0,0,0
Brent Fullwood,1987,0,0,274,5,2,2,0
Cedric Jones,1987,0,0,0,0,25,0,0
Don Majkowski,1987,875,5,127,0,0,5,0
James Pruitt,1987,0,0,0,0,26,1,0
Tom Ramsey,1987,898,6,75,1,0,4,0
George Adams,1987,0,0,169,1,35,3,0
Mark Jackson,1987,0,0,0,0,26,0,0
James Jones,1987,0,0,342,0,34,2,0
Mike Martin,1987,0,0,0,0,20,1,0
Paul Ott Carruth,1987,3,1,192,3,10,0,0
Leo Lewis,1987,0,0,-7,0,24,1,0
Vinny Testaverde,1987,1081,5,50,1,0,7,0
Curtis Duncan,1987,0,0,0,0,13,0,0
Steve Pelluer,1987,642,3,142,1,0,0,0
Mike Tomczak,1987,1220,5,54,1,0,6,0
Lorenzo Hampton,1987,0,0,289,1,23,4,0
Dennis McKinnon,1987,0,0,0,0,27,6,0
Anthony Allen,1987,0,0,0,0,13,0,0
Bruce Hill,1987,0,0,3,0,23,1,0
Walter Murray,1987,0,0,0,0,20,0,0
Daryl Turner,1987,0,0,0,0,14,0,0
Alfred Anderson,1987,0,0,319,2,7,1,0
Stacey Bailey,1987,0,0,0,0,20,1,0
James Brim,1987,0,0,36,1,18,0,0
Cris Collinsworth,1987,0,0,0,0,31,0,0
Joe Cribbs,1987,0,0,300,1,9,1,0
Ron Davenport,1987,0,0,114,1,27,0,0
Reggie Dupard,1987,0,0,318,3,3,2,0
Gary Ellerson,1987,0,0,196,3,5,0,0
Rick Massie,1987,0,0,0,0,13,0,0
John Fourcade,1987,597,4,134,0,0,1,0
Derrick McAdoo,1987,0,0,230,3,2,2,0
Tim McGee,1987,0,0,-10,0,23,0,0
Steve Sewell,1987,0,0,83,2,13,1,0
Stephen Starring,1987,0,0,13,0,17,2,0
Kyle Mackey,1987,604,3,98,2,0,3,0
John Spagnola,1987,0,0,0,0,36,2,0
Lionel Vital,1987,0,0,346,2,1,3,0
Troy Johnson,1987,0,0,9,0,15,0,0
Ron Morris,1987,0,0,0,0,20,0,0
Jamie Mueller,1987,0,0,354,2,3,5,0
Allen Rice,1987,0,0,131,1,19,1,0
Curtis Adams,1987,0,0,343,1,4,1,0
Lonzell Hill,1987,0,0,-9,0,19,0,0
Mike Guman,1987,0,0,98,1,22,0,0
Tommy Kramer,1987,452,4,44,2,0,2,0
Jay Novacek,1987,0,0,0,0,20,1,0
Mosi Tatupu,1987,15,1,248,0,15,1,0
Stephen Baker,1987,0,0,18,0,15,1,0
Jeff Chadwick,1987,0,0,-6,0,30,0,0
Clarence Kay,1987,0,0,0,0,31,3,0
Hoby Brenner,1987,0,0,0,0,20,0,0
Bruce Hardy,1987,0,0,0,0,28,1,0
Roger Vick,1987,0,0,257,1,13,3,0
Jessie Clark,1987,0,0,211,0,22,0,0
Jonathan Hayes,1987,0,0,0,0,21,0,0
Glen Kozlowski,1987,0,0,0,0,15,0,0
Ozzie Newsome,1987,0,0,0,0,34,0,0
Brent Pease,1987,728,3,33,1,0,2,0
Ronald Scott,1987,0,0,199,3,2,1,0
Kurt Sohn,1987,0,0,0,0,23,0,0
Karl Bernard,1987,0,0,187,2,13,3,0
Steve Bono,1987,438,5,27,1,1,5,0
Rodney Carter,1987,0,0,12,0,16,0,0
Larry Mason,1987,0,0,207,2,5,4,0
Alan Risher,1987,564,3,64,1,0,4,0
Ed Rubbert,1987,532,4,31,0,0,1,0
Weegie Thompson,1987,0,0,0,0,17,0,0
Bobby Micho,1987,0,0,8,0,25,1,0
Jeff Rutledge,1987,1048,5,31,0,0,7,0
Steve Dils,1987,646,5,-4,0,0,2,0
Michael Harper,1987,0,0,0,0,18,0,0
Todd Hons,1987,552,5,49,0,0,2,0
Ken Karcher,1987,628,5,3,0,0,2,0
Reggie Langhorne,1987,0,0,0,0,20,0,0
Dwight Beverly,1987,0,0,217,2,1,1,0
Gregg Garrity,1987,0,0,0,0,12,2,0
Ron Heller,1987,0,0,0,0,12,1,0
Andrew Jackson,1987,0,0,232,1,10,0,0
Eric Kattus,1987,0,0,0,0,18,0,0
Perry Kemp,1987,0,0,0,0,12,0,0
Tim Spencer,1987,0,0,228,0,17,1,0
Jamie Williams,1987,0,0,0,0,13,0,0
Eddie Hunter,1987,0,0,210,0,7,3,0
Jeff Kemp,1987,396,5,9,0,0,2,0
Carl Aikens,1987,0,0,1,0,8,0,0
Rick Fenney,1987,0,0,174,2,7,0,0
Dennis Gentry,1987,0,0,41,0,17,2,0
Damone Johnson,1987,0,0,0,0,21,0,0
Emery Moorehead,1987,0,0,0,0,24,1,0
Ed West,1987,0,0,0,0,19,0,0
Cap Boso,1987,0,0,0,0,17,0,0
Tony Galbreath,1987,0,0,74,0,26,1,0
Mike Hohensee,1987,343,4,56,0,0,2,0
Trumaine Johnson,1987,0,0,0,0,15,0,0
Hassan Jones,1987,0,0,0,0,7,0,0
Lee Morris,1987,0,0,2,0,16,1,0
Lee Rouson,1987,0,0,155,0,11,3,0
Pat Ryan,1987,314,4,5,1,0,0,0
Jimmy Teal,1987,0,0,0,0,14,1,0
Al Williams,1987,0,0,11,0,12,1,0
Greg Baty,1987,0,0,0,0,18,0,0
Alvin Blount,1987,0,0,125,3,1,1,0
Joey Clinkscales,1987,0,0,0,0,13,0,0
Jon Francis,1987,0,0,138,0,8,0,0
Otis Grant,1987,0,0,20,0,16,0,0
Gary Lee,1987,0,0,0,0,19,1,0
Vance Mueller,1987,0,0,175,1,11,3,0
Barry Word,1987,0,0,133,2,6,1,0
Chuck Banks,1987,0,0,245,0,9,1,0
Milton Barney,1987,0,0,0,0,10,1,0
Chris Brewer,1987,0,0,55,2,5,0,0
Cornell Burbage,1987,0,0,0,0,7,0,0
Craig Ellis,1987,0,0,138,2,5,1,0
Keith Griffin,1987,0,0,242,0,3,3,0
Jim Jensen,1987,0,0,18,0,26,1,0
Erik Kramer,1987,559,4,10,0,0,0,0
Gordon Banks,1987,0,0,0,0,15,1,0
Joe Dudek,1987,0,0,154,2,7,4,0
Tony Eason,1987,453,3,25,0,0,1,0
Bill Johnson,1987,0,0,205,1,3,0,0
Marc Logan,1987,0,0,203,1,3,0,0
Orson Mobley,1987,0,0,0,0,16,1,0
Paul Palmer,1987,0,0,155,0,4,2,0
Derek Tennell,1987,0,0,0,0,9,0,0
Bobby Howard,1987,0,0,100,1,10,1,0
Larry Linne,1987,0,0,0,0,11,1,0
Rick Neuheisel,1987,367,1,41,1,0,1,0
Allen Pinkett,1987,0,0,149,2,1,1,0
Scott Tinsley,1987,637,3,2,0,0,3,0
Clarence Weathers,1987,0,0,0,0,11,0,0
Kevin Willhite,1987,0,0,251,0,6,2,0
Tony Adams,1987,607,3,31,0,0,3,0
Dennis Bligen,1987,0,0,128,1,11,1,0
Carl Byrum,1987,0,0,280,0,3,4,0
Darrell Grymes,1987,0,0,0,0,9,0,0
Alonzo Highsmith,1987,0,0,106,1,4,2,0
Pete Metzelaars,1987,0,0,0,0,28,3,0
Paul Skansi,1987,0,0,0,0,19,1,0
Kevin Sweeney,1987,291,4,8,0,0,0,0
Eric Truvillion,1987,0,0,0,0,12,1,0
Odessa Turner,1987,0,0,0,0,10,0,0
Ted Wilson,1987,0,0,28,1,5,0,0
Adrian Wright,1987,0,0,112,0,13,1,0
Gary Danielson,1987,281,4,0,0,0,2,0
Phil Freeman,1987,0,0,1,0,8,1,0
Keith Paskett,1987,0,0,0,0,12,0,0
Ricky Porter,1987,0,0,177,0,9,0,0
Wesley Walker,1987,0,0,0,0,9,0,0
Pat Beach,1987,0,0,0,0,28,0,0
Lewis Bennett,1987,0,0,0,0,10,0,0
Clint Didier,1987,0,0,0,0,13,0,0
Pete Holohan,1987,0,0,0,0,20,0,0
Bruce Mathison,1987,501,3,15,0,0,0,0
Gerald McNeil,1987,0,0,17,0,8,2,0
Robert Parker,1987,0,0,150,1,7,1,0
Eric Streater,1987,0,0,5,0,5,0,0
Junior Tautalatasi,1987,0,0,69,0,25,1,0
Butch Woolfolk,1987,0,0,82,0,19,1,0
Rod Barksdale,1987,0,0,0,0,12,0,0
Greg Bell,1987,0,0,86,0,9,1,0
Mervyn Fernandez,1987,0,0,0,0,14,1,0
Ron Hall,1987,0,0,0,0,16,0,0
Lakei Heimuli,1987,0,0,128,0,5,1,0
Thomas Sanders,1987,0,0,122,1,3,1,0
Mike Tice,1987,0,0,0,0,14,0,0
Steve Watson,1987,0,0,0,0,11,0,0
Jimmie Giles,1987,0,0,0,0,13,0,0
Rusty Hilger,1987,706,2,8,0,0,3,0
Calvin Sweeney,1987,0,0,0,0,16,0,0
John Tagliaferri,1987,0,0,45,1,12,0,0
Lenny Taylor,1987,0,0,-13,0,12,0,0
Oliver Williams,1987,0,0,0,0,11,1,0
Ron Wolfley,1987,0,0,87,1,8,0,0
Michael Haddix,1987,0,0,165,0,7,1,0
Michael LeBlanc,1987,0,0,170,1,2,2,0
Edwin Lovelady,1987,0,0,11,0,10,5,0
Curt Pardridge,1987,0,0,0,0,8,0,0
Rob Rubick,1987,0,0,0,0,13,0,0
John Settle,1987,0,0,72,0,11,2,0
John Taylor,1987,0,0,0,0,9,0,0
Lyneal Alston,1987,0,0,0,0,3,0,0
Cris Carter,1987,0,0,0,0,5,0,0
Russ Francis,1987,0,0,0,0,22,0,0
Larry Moriarty,1987,0,0,107,0,10,0,0
Nathan Poole,1987,0,0,126,1,1,0,0
Mike Siano,1987,0,0,0,0,9,0,0
Mike Waters,1987,0,0,0,0,5,0,0
Ken Whisenhunt,1987,0,0,0,0,17,1,0
Mike Busch,1987,278,3,0,0,0,0,0
Bob Perryman,1987,0,0,187,0,3,1,0
Kevin Bowman,1987,0,0,0,0,6,1,0
Marc Brown,1987,0,0,0,0,9,0,0
Nuu Faaola,1987,0,0,43,2,1,0,0
Leonard Harris,1987,0,0,17,0,10,0,0
Mike Hold,1987,123,2,69,0,0,0,0
Ethan Horton,1987,0,0,95,0,3,2,0
Mike Kelley,1987,305,1,17,0,0,0,0
Frank Middleton,1987,0,0,74,1,8,0,0
James Noble,1987,0,0,0,0,10,2,0
Stacy Robinson,1987,0,0,0,0,6,0,0
Dave Wilson,1987,243,2,0,0,0,0,0
Wayne Wilson,1987,0,0,55,2,2,1,0
Rick Badanjek,1987,0,0,87,1,6,1,0
Reggie Brown,1987,0,0,136,0,8,2,0
Terry Greer,1987,0,0,0,0,6,0,0
Merril Hoge,1987,0,0,8,0,7,0,0
Buford Jordan,1987,0,0,36,2,2,0,0
Charles Lockett,1987,0,0,0,0,7,1,0
Phil McConkey,1987,0,0,0,0,11,2,0
Reggie McGowan,1987,0,0,0,0,4,0,0
Stacey Mobley,1987,0,0,0,0,8,0,0
Malcolm Moore,1987,0,0,0,0,6,0,0
Mark Stevens,1987,52,1,45,1,0,0,0
Harry Sydney,1987,50,1,125,0,1,2,0
George Wonsley,1987,0,0,71,1,5,1,0
Jamie Holland,1987,0,0,17,0,6,0,0
Mark Keel,1987,0,0,0,0,8,0,0
Louis Lipps,1987,0,0,0,0,11,0,0
Craig McEwen,1987,0,0,0,0,12,0,0
Alvin Ross,1987,0,0,54,1,5,0,0
Dwight Stone,1987,0,0,135,0,1,0,0
Gerald Willhite,1987,0,0,141,0,9,1,0
Rod Bernstine,1987,0,0,9,0,10,0,0
Tony Boddie,1987,0,0,7,1,9,0,0
Danny Bradley,1987,0,0,0,0,7,2,0
Walter Broughton,1987,0,0,0,0,5,0,0
Leland Douglas,1987,0,0,0,0,9,0,0
Willie Drewrey,1987,0,0,0,0,11,0,0
Doug Flutie,1987,199,1,43,0,0,1,0
Sammy Garza,1987,183,1,31,1,0,1,0
Scott Holman,1987,0,0,0,0,15,1,0
Herman Hunter,1987,0,0,144,0,3,1,0
Dan Johnson,1987,0,0,0,0,4,1,0
Rocky Klever,1987,0,0,0,0,14,0,0
James McDonald,1987,0,0,0,0,4,0,0
Tim Sherwin,1987,0,0,0,0,9,0,0
Matt Stevens,1987,315,1,7,0,0,0,0
Cliff Austin,1987,0,0,32,1,5,0,0
Gordon Brown,1987,0,0,85,1,0,1,0
Major Everett,1987,0,0,95,0,8,0,0
Carl Hilton,1987,0,0,0,0,2,0,0
David McCluskey,1987,0,0,94,1,1,2,0
Tim Moffett,1987,0,0,1,0,5,0,0
Carl Monroe,1987,0,0,26,0,3,1,0
Del Rodgers,1987,0,0,46,1,2,1,0
Chuck Sanders,1987,0,0,65,1,1,0,0
Steve Strachan,1987,0,0,108,0,4,1,0
Don Summers,1987,0,0,0,0,7,0,0
Shane Swanson,1987,0,0,0,0,6,1,0
Vincent Alexander,1987,0,0,71,1,2,2,0
Bob Bleier,1987,181,1,-5,1,0,2,0
Sylvester Byrd,1987,0,0,0,0,7,0,0
Maurice Carthon,1987,0,0,60,0,8,0,0
Tony Cherry,1987,0,0,65,1,0,0,0
Steve Holloway,1987,0,0,0,0,10,0,0
Don Holmes,1987,0,0,0,0,11,0,0
Keyvan Jenkins,1987,0,0,88,0,8,0,0
Rod Jones,1987,0,0,0,0,8,1,0
Henry Marshall,1987,0,0,0,0,10,0,0
Mark Pattison,1987,0,0,0,0,9,0,0
Butch Rolle,1987,0,0,0,0,2,0,0
Lavale Thomas,1987,0,0,19,0,2,0,0
Ray Wallace,1987,0,0,102,0,7,1,0
Jeff Womack,1987,0,0,20,0,5,0,0
Woody Bennett,1987,0,0,102,0,4,0,0
Reggie Collier,1987,110,2,20,0,0,0,0
Stacey Dawsey,1987,0,0,0,0,13,2,0
Stan Edwards,1987,0,0,69,0,7,3,0
Mark Gehring,1987,0,0,0,0,5,0,0
Kevin House,1987,0,0,0,0,6,0,0
Danzell Lee,1987,0,0,0,0,12,0,0
Keith McDonald,1987,0,0,0,0,4,0,0
Harold Ricks,1987,0,0,76,1,1,3,0
Chris Smith,1987,0,0,114,0,2,2,0
Timmy Smith,1987,0,0,126,0,1,0,0
Michael Williams,1987,0,0,49,0,9,0,0
Van Williams,1987,0,0,108,0,5,2,0
Mike Young,1987,0,0,0,0,4,0,0
Rick Calhoun,1987,0,0,36,0,1,0,0
Eddie Chavis,1987,0,0,0,0,7,0,0
